Description,Designator,Manufacturer,Manufacturer Part Number,Quantity,Comment

"0.025"" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 6-Pin, Male, RoHS","P1","Samtec","","1","TSW-103-08-G-D"
"No Description Available","U1, U3, U5, U7","","","4","TPS562202DRLR"
"11V, 1A H-bridge motor driver, PWM, PH/EN, ½ bridge control, with low power sleep mode","U2, U4, U6","Texas Instruments","","3","SYM-DRV8210DSG"
"Through Hole Right Angle DC Power Jack, 2.5 A, 2 mm Center Pin, 3 Position, -25 to 85 degC, RoHS, Bulk","PJ1","CUIInc.","","1","PJ-002A"
"12 mm Incremental Encoder, 24 Detent, -30 to 70 degC, 5-Pin THD, RoHS, Bulk","SW1","","","1","PEC11R-4215F-S0024"
"FERRITE BEAD 30 OHM 0805 1LN","FB1, FB2","Bourns","MH2029-300Y","2","MH2029-300Y"
"PTC RESET FUSE 15V 500MA 1812","F2","Bourns","MF-MSMF050-2","1","MF-MSMF050-2 500mA"
"CONN HEADER VERT 2POS 2MM","J11","Harwin","M22-2510205","1","M22-2510205"
"Male Header, Pitch 2.54 mm, 1 x 3 Position, Height 8.38 mm, Tail Length 3.18 mm, RoHS, Bulk","J3, J5, J7","Molex","","3","M22-2510205"
"CONN HEADER VERT 2POS 2.54MM","J16, J20","Harwin","M20-9990246","2","M20-9990246"
"LED GREEN CLEAR CHIP SMD","D6","","","1","LTST-C190GKT"
"SMD Power Inductor WE-LHMI, L=2.2 µH","L1, L2, L3, L4","Wuerth Elektronik","","4","LQM2HPN4R7MGCL"
"CONN HEADER VERT 4POS 1.27MM","J1","","","1","GRPB041VWVN-RC"
"CAP CER 22UF 25V X5R 1210","C9, C10, C21, C22, C33, C34","Murata Electronics North America","GRM32ER61E226KE15L","6","GRM32ER61E226KE15L"
"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 20%, 25V","C43, C44","","","2","GRM21BR61E106MA73L"
"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 10V","C45, C46","","","2","GRM21BR61A226ME44L"
