Altium Designer Pick and Place Locations
C:\Users\sam\Platform_V2\Project Outputs for Phantom_Platform\Pick Place for PCB_V2.txt

========================================================================================================================
File Design Information:

Date:       03/11/21
Time:       14:32
Revision:   471a3ca86b4d75f319b4a65f201b9d318d7c0fd0
Variant:    No variations
Units used: mil

Designator Comment               Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              Ref-X(mil) Ref-Y(mil) 
J12        648103131822          TopLayer 648103131822                 1338.614      3475.812      180      "Male Shrouded Header WR-WTB, SMT, Right Angled, pitch 1.5 mm, 1 x 3 position"                                                                           1338.614   3508.291   
C64        C0603C104K5RACTU      TopLayer FP-C0603C-CF-MFG             2148.032      1599.433      180      "Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 50volts 0.1uF X7R 10%"                                                                                   2148.032   1599.433   
P1         61300511121           TopLayer 61300511121                  4230.032      2157.433      90       "THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 5 pins"                                                                                      4230.032   2157.433   
U1         SN74LVC2G34DRLR       TopLayer FP-DRL0006A-MFG              869.898       607.433       0        "IC BUFFER NON-INVERT 5.5V 6SOT"                                                                                                                         869.898    607.433    
C6         C0603C104K5RACTU      TopLayer FP-C0603C-CF-MFG             946.032       635.055       270      "Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 50volts 0.1uF X7R 10%"                                                                                   946.032    635.055    
C5         CC0603KRX7R7BB105     TopLayer FP-CC0603-DA-MFG             1005.032      640.961       90       "0603 1 uF 16 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                                                                    1005.032   640.961    
U9         ATmega32U4-AU         TopLayer 44ML_M                       2228.378      1894.118      0        "8-bit AVR Microcontroller, 2.7-5.5V, 16MHz, 32KB Flash, 1KB EEPROM, 2.5KB SRAM, USB Controller, 44-pin TQFP, Industrial Grade (-40°C to 85°C), Ext Osc" 2228.378   1894.118   
J20        PBC01SAAN             TopLayer FP-PBC01SAAN-MFG             1860.032      2248.433      0        "CONN HEADER VERT 1POS"                                                                                                                                  1860.032   2248.433   
D7         CD1206-S01575         TopLayer BOUR-CD1206-S01575-2_L       1679.134      268.701       180      "75 V Small Signal Switching Diode, 150 mA, 2.5 uA, 1026 Molded Package, RoHS, Tape and Reel"                                                            1679.134   268.701    
SW2        1825910-6             TopLayer TECO-1825910-6_V             1643.032      472.433       270      "Tact Switch, SPST-NO, 0.05 A, -35 to 85 degC, 4-Pin THD, RoHS, Bulk"                                                                                    1643.032   472.433    
J2         031-5540              TopLayer FP-031-5540-MFG              562.992       387.205       0        "CONN BNC RCPT R/A 50 OHM PCB"                                                                                                                           562.992    -142.716   
J3         031-5540              TopLayer FP-031-5540-MFG              1194.685      387.205       0        "CONN BNC RCPT R/A 50 OHM PCB"                                                                                                                           1194.685   -142.716   
C40        CC0603KRX7R9BB103     TopLayer FP-CC0603-DA-MFG             3519.032      3479.433      180      "SMD Multilayer Ceramic Capacitor, 10000 pF, 50 V, 0603 [1608 Metric], ± 10%, X7R,"                                                                      3519.032   3479.433   
C28        CC0603KRX7R9BB103     TopLayer FP-CC0603-DA-MFG             2916.032      3465.433      180      "SMD Multilayer Ceramic Capacitor, 10000 pF, 50 V, 0603 [1608 Metric], ± 10%, X7R,"                                                                      2916.032   3465.433   
